ID,Seq,Name,Attribute,ParentID,UUID,rb_data_status,rb_local_data_status,rb_local_deleted,rb_local_synced,usn,rb_local_usn,created_at,updated_at
2437594873,8,Future Funk,0,1,2560fb6d-d9c9-4aa5-9109-b341c4149ef8,0,0,0,1,,932028,2025-04-24 03:29:55.820 +00:00,2025-04-24 03:29:58.930 +00:00
73160424,8,Guitar,0,2,1ec878bb-d238-44f9-9d17-d335ccc36d88,0,0,0,1,,945819,2025-04-24 03:30:09.539 +00:00,2025-05-23 00:45:49.705 +00:00
3126867081,9,Party,0,3,1c90b10c-c252-4a1e-a653-0000dc2d9e8b,0,0,0,1,,932156,2025-04-24 03:30:53.167 +00:00,2025-04-24 03:48:30.319 +00:00
2865521391,2,Disco,0,4,c08c4162-5293-4f24-99fc-a838501dd62f,0,0,0,1,,932044,2025-04-24 03:31:27.204 +00:00,2025-04-24 03:31:32.482 +00:00
1955181446,9,Sax,0,2,96bf4524-7905-44d1-91d3-6bf6028b63c8,0,0,0,1,,945819,2025-04-24 03:32:56.559 +00:00,2025-05-23 00:45:49.705 +00:00
926121059,3,Bouncy,0,4,b4793f38-b481-4866-a53c-b3ee4fb08fe6,0,0,0,1,,932050,2025-04-24 03:33:11.743 +00:00,2025-04-24 03:33:20.680 +00:00
3829934573,10,Electro Saw,0,2,60772831-6186-461d-8b5e-4c138778b00f,0,0,0,1,,945819,2025-04-24 03:48:04.953 +00:00,2025-05-23 00:45:49.706 +00:00
1647340530,4,Happy,0,4,c8224d29-51ef-479e-ae8f-e2a3a50b144c,0,0,0,1,,932162,2025-04-24 03:48:40.628 +00:00,2025-04-24 03:49:45.313 +00:00
3785553394,10,Club,0,3,a5657a69-9e69-4f83-8e16-5ff1f6b7f259,0,0,0,1,,932174,2025-04-24 03:56:14.496 +00:00,2025-04-24 03:56:20.452 +00:00
3659446867,11,Sirens,0,2,25fcb5ed-cfbc-4769-9d7f-0e21134dc418,0,0,0,1,,945819,2025-04-24 04:05:01.793 +00:00,2025-05-23 00:45:49.706 +00:00
1344041383,5,Dreamy,0,4,5499b9b7-ccf5-423b-b0fb-af15fa221e78,0,0,0,1,,932284,2025-04-24 04:05:36.082 +00:00,2025-04-24 04:05:38.886 +00:00
